Region,District,Township,n_cell,n_core_cell,n_edges_perimeter,n_edges_internal,area,core_area,perimeter,perim_area_ratio,shape_index,frac_dim_index,core_area_index
Mandalay,Pyin-Oo-Lwin,Madaya,721.852752,639.1197284,96.10007148,2791.310936,721.852752,639.1197284,96.10007148,3.006517478,1.229476353,NA,0.016074552
Mandalay,Pyin-Oo-Lwin,Mogok,2434.190176,2028.010076,469.604534,9267.156171,2434.190176,2028.010076,469.604534,2.899479554,1.37275559,NA,0.020331234
Mandalay,Pyin-Oo-Lwin,Singu,603.0839596,526.9733091,90.2321845,2322.103654,603.0839596,526.9733091,90.2321845,2.958360967,1.271696087,NA,0.014508741
Mandalay,Pyin-Oo-Lwin,Thabeikkyin,500.2589519,402.9530472,116.4799621,1884.555845,500.2589519,402.9530472,116.4799621,2.922784241,1.281539632,NA,0.013101904
Mandalay,Yamethin,Yamethin,8337016,8220440,140750,33207314,8337016,8220440,140750,0.016882539,12.18614719,1.313793217,0.986017059
Rakhine,Buthidaung,Buthidaung,1113.408264,982.433719,153.6304132,4300.002645,1113.408264,982.433719,153.6304132,2.94352819,1.345859653,NA,0.016881759
Rakhine,Buthidaung,Ponnagyun & Rathedaung,972.9163194,864.0989583,124.8743056,3766.790972,972.9163194,864.0989583,124.8743056,2.929177336,1.29689602,NA,0.021146045
Rakhine,Buthidaung,Sittwe (Akyab),301.6858553,280.9605263,23.43092105,1183.3125,301.6858553,280.9605263,23.43092105,3.230140315,1.156309248,NA,0.003426484
Rakhine,Maungtaw,Maungdaw,500.9883853,403.0036438,119.2452744,1884.708267,500.9883853,403.0036438,119.2452744,2.979493871,1.273073017,NA,0.01064429
Rakhine,Sittwe,Kyauktaw,1397.872057,1235.898669,184.7226203,5406.765609,1397.872057,1235.898669,184.7226203,2.8296698,1.341587722,NA,0.026481514
Rakhine,Sittwe,Minbya,2555.311886,2363.539784,219.2711198,10001.97642,2555.311886,2363.539784,219.2711198,2.791431129,1.36791128,NA,0.02673945
Rakhine,Sittwe,Mrauk-Oo,807.0699673,694.8531097,129.9525368,3098.327332,807.0699673,694.8531097,129.9525368,2.844528632,1.342020841,NA,0.022290241
Sagaing,Hkamti,Homalin,2115.029899,1970.040106,168.3081172,8291.811479,2115.029899,1970.040106,168.3081172,3.02521336,1.255910024,NA,0.014274309
Sagaing,Hkamti,Khamti,19129.37119,18492.92382,735.5290859,75781.95568,19129.37119,18492.92382,735.5290859,3.150153128,1.368874895,NA,0.008530927
Sagaing,Hkamti,Lahe,1769.808368,1525.31689,296.5578512,6782.67562,1769.808368,1525.31689,296.5578512,3.174308199,1.221368166,NA,0.004950499
Sagaing,Hkamti,Lashe,2645.545279,2379.905588,313.0006423,10269.18048,2645.545279,2379.905588,313.0006423,2.860937157,1.366608473,NA,0.016687668
Sagaing,Hkamti,Nanyun,3939.854442,3683.851588,307.2957545,15452.12201,3939.854442,3683.851588,307.2957545,3.231362251,1.217222075,NA,0.004159146
Sagaing,Kalemyo,Kale,905.1869178,802.8045953,121.6427241,3499.104947,905.1869178,802.8045953,121.6427241,3.093365247,1.220930012,NA,0.008802943
Sagaing,Kalemyo,Kalewa,1614.298468,1354.123851,302.2914661,6154.902407,1614.298468,1354.123851,302.2914661,2.893313283,1.353512211,NA,0.016707328
Sagaing,Kalemyo,Mingin,920.5984761,696.8116614,270.1043565,3412.289548,920.5984761,696.8116614,270.1043565,2.959461543,1.322654257,NA,0.015309802
Sagaing,Katha,Banmauk,2521.821586,2248.13304,311.6960352,9775.590308,2521.821586,2248.13304,311.6960352,2.843829109,1.3013263,NA,0.022502929
Sagaing,Katha,Indaw,717.1398352,600.7678571,135.2686813,2733.290659,717.1398352,600.7678571,135.2686813,2.821091251,1.314745723,NA,0.021820711
Sagaing,Katha,Katha,525.4195054,437.4867525,105.9571032,1995.720918,525.4195054,437.4867525,105.9571032,3.027273531,1.249239408,NA,0.011590604
Sagaing,Katha,Kawlin,452.180615,371.7603477,95.24120929,1713.481251,452.180615,371.7603477,95.24120929,2.97357799,1.263943196,NA,0.017431821
Sagaing,Katha,Pinlebu,1377.31364,1186.251398,218.9506443,5290.303914,1377.31364,1186.251398,218.9506443,2.900834576,1.275156723,NA,0.018402076
Sagaing,Katha,Tigyaing,641.4055758,553.0494524,105.7076004,2459.914703,641.4055758,553.0494524,105.7076004,3.016667492,1.258825631,NA,0.01196387
Sagaing,Katha,Wuntho,966.8555184,822.7331104,166.9123746,3700.509699,966.8555184,822.7331104,166.9123746,2.820600184,1.310786917,NA,0.024021652
Sagaing,Mawleik,Mawlaik,3789.518107,3473.065421,357.9521028,14800.12033,3789.518107,3473.065421,357.9521028,2.940511659,1.319921523,NA,0.023956252
Sagaing,Mawleik,Phaungbyin,1410.885385,1296.273273,131.5465465,5511.994995,1410.885385,1296.273273,131.5465465,3.100422585,1.220046049,NA,0.011039643
Sagaing,Monywa,Ayadaw,12218.85795,12159.97727,59.92045455,48815.51136,12218.85795,12159.97727,59.92045455,3.190912132,1.072334788,NA,0.006034502
Sagaing,Monywa,Budalin,2912,2877.503425,38.61986301,11609.38014,2912,2877.503425,38.61986301,3.129722441,1.196984817,NA,0.008934796
Sagaing,Monywa,Chaung-U,1431.321168,1409.350365,23.54379562,5701.740876,1431.321168,1409.350365,23.54379562,3.337815289,1.096575657,NA,0.002087656
Sagaing,Monywa,Kani,708.9050935,579.0851064,157.3609284,2678.259446,708.9050935,579.0851064,157.3609284,2.945766565,1.304137996,NA,0.012721539
Sagaing,Monywa,Monywa,2918.197143,2887.768571,31.27428571,11641.51429,2918.197143,2887.768571,31.27428571,3.371264959,1.075944149,NA,0.003305409
Sagaing,Monywa,Pale,484.6826087,396.6875562,108.5526237,1830.177811,484.6826087,396.6875562,108.5526237,2.99233315,1.255720524,NA,0.010144158
Sagaing,Monywa,Salingyi,6313.698565,6257.382775,59.67464115,25195.11962,6313.698565,6257.382775,59.67464115,2.981481933,1.173106359,NA,0.019366139
Sagaing,Monywa,Yinmabin,1544.368421,1500.865212,51.53530167,6125.938383,1544.368421,1500.865212,51.53530167,3.112123284,1.22484134,NA,0.009251828
Sagaing,Sagaing,Myaung,5797.808917,5751.707006,46.85350318,23144.38217,5797.808917,5751.707006,46.85350318,3.473864139,1.079114041,NA,0.006321036
Sagaing,Sagaing,Myinmu,21994.80357,21873.5,121.4642857,87857.75,21994.80357,21873.5,121.4642857,3.424201242,1.040982947,NA,0.017760101
Sagaing,Sagaing,Ngazun,10106.42935,10047.22826,61.31521739,40364.40217,10106.42935,10047.22826,61.31521739,3.159298281,1.131043908,NA,0.014376548
Sagaing,Sagaing,Sagaing,2504.7529,2480.055684,26.84222738,9992.169374,2504.7529,2480.055684,26.84222738,3.253370794,1.123258212,NA,0.00347008
Sagaing,Shwebo,Kanbalu,331.5123369,268.9502195,76.19714303,1249.852205,331.5123369,268.9502195,76.19714303,2.969375069,1.280688892,NA,0.011509029
Sagaing,Shwebo,Khin-U,677.5425331,652.2763705,29.08355388,2681.086578,677.5425331,652.2763705,29.08355388,3.033066577,1.211045019,NA,0.006275206
Sagaing,Shwebo,Kyunhla,467.7558868,353.3285807,135.9442644,1735.079283,467.7558868,353.3285807,135.9442644,2.951965438,1.294138628,NA,0.014567089
Sagaing,Shwebo,Shwebo,1502.820657,1481.307981,22.64225352,5988.640376,1502.820657,1481.307981,22.64225352,3.278833788,1.091524536,NA,0.002549803
Sagaing,Shwebo,Tabayin,788.5197527,762.6138784,30.26932326,3123.809687,788.5197527,762.6138784,30.26932326,3.011621419,1.225958071,NA,0.00839616
Sagaing,Shwebo,Tantabin,507.9086643,470.4703971,43.76028881,1987.874368,507.9086643,470.4703971,43.76028881,2.938247174,1.26874149,NA,0.011022948
Sagaing,Shwebo,Taze,346.5123486,266.8810259,97.17573023,1288.873664,346.5123486,266.8810259,97.17573023,2.862374687,1.356790053,NA,0.022069076
Sagaing,Shwebo,Wetlet,4106.410959,4077.517123,29.93493151,16395.7089,4106.410959,4077.517123,29.93493151,3.344787811,1.076952971,NA,0.003818489
Sagaing,Shwebo,Ye-U,250.3198059,186.3998348,78.61090458,922.6683189,250.3198059,186.3998348,78.61090458,2.82854668,1.359264641,NA,0.023738735
Sagaing,Tamu,Tamu,995.2281903,872.8893295,141.4513338,3839.461428,995.2281903,872.8893295,141.4513338,2.935416922,1.309529026,NA,0.02434562
Shan,Kengtung,Mong Yang,526.3693529,324.4565941,242.4481168,1863.029295,526.3693529,324.4565941,242.4481168,2.804243601,1.33104785,NA,0.021720019
Shan,Kengtung,Mongkhak,1007.184895,678.4451094,389.6079241,3639.131655,1007.184895,678.4451094,389.6079241,2.825736341,1.331354483,NA,0.018126109
Shan,Kunlong,Ho-Pang,411.0839446,262.4612877,181.6899756,1462.645803,411.0839446,262.4612877,181.6899756,3.005441262,1.275855281,NA,0.012375544
Shan,Kunlong,Kunlong,203.8843481,120.6591604,100.9179872,714.6194051,203.8843481,120.6591604,100.9179872,2.855761341,1.311878978,NA,0.018318239
Shan,Kyaukme,Hsipaw,398.5174962,277.2264714,144.1735375,1449.896447,398.5174962,277.2264714,144.1735375,2.84320724,1.289888848,NA,0.023559661
Shan,Kyaukme,Kyaukme,935.7604651,743.8094315,223.6372093,3519.404651,935.7604651,743.8094315,223.6372093,2.770253595,1.306795944,NA,0.028462659
Shan,Kyaukme,Mabein,2142.131219,1920.90924,257.9458721,8310.579005,2142.131219,1920.90924,257.9458721,3.095150755,1.240474744,NA,0.011463114
Shan,Kyaukme,Mong Mit,1503.005848,1294.471837,244.3625731,5767.660819,1503.005848,1294.471837,244.3625731,3.049259994,1.247933003,NA,0.012267802
Shan,Kyaukme,Namhsan,1940.325028,1434.318233,599.8006795,7161.499434,1940.325028,1434.318233,599.8006795,3.016107764,1.410019203,NA,0.011313434
Shan,Kyaukme,Namtu,1682.675364,1379.163704,357.2773032,6373.424151,1682.675364,1379.163704,357.2773032,2.926795041,1.299063308,NA,0.019567698
Shan,Kyaukme,Nawnghkio,319.0066207,249.6117312,81.76537536,1194.261107,319.0066207,249.6117312,81.76537536,2.790987343,1.287117291,NA,0.022333379
Shan,Lasho,Hsenwi,619.3531443,435.6912032,219.738277,2257.6743,619.3531443,435.6912032,219.738277,2.943486779,1.278077156,NA,0.015805008
Shan,Lasho,Lashio,549.8101357,386.1764366,194.564395,2004.676148,549.8101357,386.1764366,194.564395,2.843121656,1.29364751,NA,0.02044331
Shan,Lasho,Man Hpang,542.9721773,335.549991,255.3857476,1916.502962,542.9721773,335.549991,255.3857476,3.096829936,1.227064325,NA,0.006305893
Shan,Lasho,Mong Mao,856.931008,599.7658374,312.8904847,3114.833547,856.931008,599.7658374,312.8904847,3.077206839,1.251844307,NA,0.007192532
Shan,Lasho,Mong Yai,587.1730504,430.9625241,182.161477,2166.530725,587.1730504,430.9625241,182.161477,2.768245019,1.308937281,NA,0.025422197
Shan,Lasho,Nampan,431.9138911,264.3976442,206.1353913,1521.520173,431.9138911,264.3976442,206.1353913,3.032141854,1.24026756,NA,0.007211152
Shan,Lasho,Pang-Yang,1425.792886,1152.402313,332.9391975,5370.232346,1425.792886,1152.402313,332.9391975,3.087561708,1.246515748,NA,0.007947372
Shan,Lasho,Pangwaum,370.218947,215.5587957,190.1544767,1290.721311,370.218947,215.5587957,190.1544767,2.969592941,1.274407525,NA,0.008939668
Shan,Lasho,Tangyan,468.9294588,319.0678946,177.2572108,1698.460624,468.9294588,319.0678946,177.2572108,2.811133174,1.291460851,NA,0.022217899
Shan,Lauking,Kong-Kyan,261.2672114,133.292794,154.2427002,890.8261452,261.2672114,133.292794,154.2427002,2.846535792,1.332904023,NA,0.016937697
Shan,Loilen,Ke-Hsi,382.5373251,267.56863,134.6539538,1395.495347,382.5373251,267.56863,134.6539538,2.731521177,1.311883915,NA,0.025985727
Shan,Loilen,Kunhing,998.9694146,780.2697995,256.9637432,3738.913915,998.9694146,780.2697995,256.9637432,2.893101133,1.279466863,NA,0.018379363
Shan,Loilen,Lai-Hka,359.7464466,245.1410886,135.2356062,1303.75018,359.7464466,245.1410886,135.2356062,2.772208356,1.301272701,NA,0.021840374
Shan,Loilen,Loi Lem,586.4917213,358.1305842,272.6141831,2073.352702,586.4917213,358.1305842,272.6141831,2.804166516,1.343841379,NA,0.023430926
Shan,Loilen,Mong Hsu,741.1565679,539.2403804,237.3113667,2727.314905,741.1565679,539.2403804,237.3113667,2.826707507,1.313031876,NA,0.024943079
Shan,Loilen,Mong Kung,740.605894,544.822758,230.6965595,2731.727016,740.605894,544.822758,230.6965595,2.800868166,1.283404793,NA,0.022661992
Shan,Loilen,Mong Nai,1562.015113,1342.113986,256.6203893,5991.440061,1562.015113,1342.113986,256.6203893,2.891091883,1.259107502,NA,0.015256869
Shan,Loilen,Namsang,468.7500936,345.691248,144.9638392,1730.036535,468.7500936,345.691248,144.9638392,2.786590774,1.304295004,NA,0.022559149
Shan,Mongsat,Mong Hsat,2307.225507,2028.354548,327.0573791,8901.84465,2307.225507,2028.354548,327.0573791,2.935745574,1.260982188,NA,0.010475293
Shan,Mongsat,Mong Ping,5989.255703,5304.523077,791.9108753,23165.11194,5989.255703,5304.523077,791.9108753,3.06201382,1.308116426,NA,0.009982071
Shan,Muse,Kutkai,657.6067142,452.3035446,245.0795199,2385.347337,657.6067142,452.3035446,245.0795199,2.858969768,1.297426769,NA,0.018995723
Shan,Muse,Mu-Se,481.4178054,322.6842105,190.4930321,1735.17819,481.4178054,322.6842105,190.4930321,2.855952329,1.321878189,NA,0.017682177
Shan,Muse,Namhkan,1247.004127,928.0965745,378.4638877,4609.552621,1247.004127,928.0965745,378.4638877,2.935793573,1.324930801,NA,0.013434175
Shan,Taunggye,Ho-Pong,438.1846115,292.6822383,170.9527854,1581.785661,438.1846115,292.6822383,170.9527854,2.712046936,1.317354503,NA,0.026617491
Shan,Taunggye,Kalaw,369.2819394,291.730683,89.52719122,1387.600566,369.2819394,291.730683,89.52719122,2.615798827,1.374438715,NA,0.036496459
Shan,Taunggye,Lawksawk,586.8793487,457.7858843,151.328623,2196.188772,586.8793487,457.7858843,151.328623,2.773235059,1.304775472,NA,0.026233705
Shan,Taunggye,Pindaya,498.3586672,445.8723325,60.10033695,1933.334332,498.3586672,445.8723325,60.10033695,2.60476653,1.331203694,NA,0.033375732
Shan,Taunggye,Taunggyi,273.6561853,209.7170966,74.92487291,1019.699868,273.6561853,209.7170966,74.92487291,2.613712899,1.35403068,NA,0.032306457
Shan,Taunggye,Ye-Ngan,631.415156,462.2310287,199.1652614,2326.495363,631.415156,462.2310287,199.1652614,2.771448787,1.318882566,NA,0.025541445
Ayeyarwady,Bassein,Bassein West,612.9335468,511.2319856,119.5456365,2332.188551,612.9335468,511.2319856,119.5456365,2.781347384,1.306305332,NA,0.02862968
Ayeyarwady,Bassein,Kyaunggon,303.8853717,272.863789,36.29256595,1179.248921,303.8853717,272.863789,36.29256595,2.946373191,1.256993918,NA,0.016080287
Ayeyarwady,Bassein,Kyonpyaw,296.9620679,257.7610435,47.0259283,1140.822343,296.9620679,257.7610435,47.0259283,2.798905896,1.319707285,NA,0.018017579
Ayeyarwady,Bassein,Ngaputaw,576.1929973,485.2638712,108.1115347,2196.660455,576.1929973,485.2638712,108.1115347,2.903487146,1.27736148,NA,0.01686193
Ayeyarwady,Bassein,Thabaung,674.0587058,594.5316878,92.68668001,2603.548143,674.0587058,594.5316878,92.68668001,3.118739302,1.177993903,NA,0.01159476
Ayeyarwady,Bassein,Yegyi,735.3603335,642.9261465,108.2525313,2833.188803,735.3603335,642.9261465,108.2525313,2.846048471,1.32973423,NA,0.018766228
Ayeyarwady,Hinthada,Danubyu,343.0209119,294.2495715,58.63832705,1313.445321,343.0209119,294.2495715,58.63832705,2.742010109,1.37453701,NA,0.022947915
Ayeyarwady,Hinthada,Henzada,331.4948426,282,59.34197302,1266.637398,331.4948426,282,59.34197302,2.70910755,1.393212976,NA,0.026370944
Ayeyarwady,Hinthada,Ingapu,382.7491058,323.6801226,70.09044456,1460.905979,382.7491058,323.6801226,70.09044456,2.802545581,1.320105124,NA,0.021006081
Ayeyarwady,Hinthada,Kyangin,296.5813344,230.9234025,77.40495868,1108.920379,296.5813344,230.9234025,77.40495868,2.890686793,1.254264505,NA,0.009667832
Ayeyarwady,Hinthada,Lemyethna,599.6519184,519.4694089,94.17213965,2304.435534,599.6519184,519.4694089,94.17213965,2.796023886,1.324048029,NA,0.021044927
Ayeyarwady,Hinthada,Myanaung,330.3697891,279.3342325,61.2957332,1260.183423,330.3697891,279.3342325,61.2957332,2.842100811,1.300703964,NA,0.013115335
Ayeyarwady,Hinthada,Zalun,384.9054684,343.272997,49.49130988,1490.130564,384.9054684,343.272997,49.49130988,2.837858765,1.321833509,NA,0.021089364
Ayeyarwady,Maubin,Danubyu,381.1229226,343.7025788,44.52378223,1479.967908,381.1229226,343.7025788,44.52378223,2.917441468,1.299234785,NA,0.018721006
Ayeyarwady,Maubin,Irrawaddy,121.3662744,105.5064549,18.10442134,467.3606763,121.3662744,105.5064549,18.10442134,3.222734248,1.121783325,NA,0.001992116
Ayeyarwady,Maubin,Ma-Ubin,310.446822,290.2163136,23.39957627,1218.387712,310.446822,290.2163136,23.39957627,3.095223703,1.166698002,NA,0.005228035
Ayeyarwady,Maubin,Pantanaw,307.6490928,272.8308431,41.10843116,1189.48794,307.6490928,272.8308431,41.10843116,2.964143063,1.252491473,NA,0.015094547
Ayeyarwady,Maubin,Yandoon,220.9796969,194.4699132,31.27056054,852.6482272,220.9796969,194.4699132,31.27056054,3.024272406,1.215434816,NA,0.012159736
Ayeyarwady,Myoungmya,Einme,410.8860268,377.2988709,38.60479887,1604.939308,410.8860268,377.2988709,38.60479887,2.799058297,1.264989521,NA,0.019986809
Ayeyarwady,Myoungmya,Labutta,267.4071652,240.2596242,32.73659974,1036.892061,267.4071652,240.2596242,32.73659974,3.085238753,1.218718265,NA,0.00313242
Ayeyarwady,Myoungmya,Moulmeingyun,619.5920255,600.8650718,21.05263158,2457.31547,619.5920255,600.8650718,21.05263158,3.170673466,1.130491752,NA,0.003271654
