"","n.cell","n.core.cell","n.edges.perimeter","n.edges.internal","area","core.area","perimeter","perim.area.ratio","shape.index","frac.dim.index","core.area.index","ID"
"13",5049.1722354813,4719.71479713604,383.320604614161,19813.3683373111,5049.1722354813,4719.71479713604,383.320604614161,2.92355542281316,1.28655743778511,NA,0.0143489039895334,111
"14",2831.47447447447,2521.11211211211,362.332332332332,10963.5655655656,2831.47447447447,2521.11211211211,362.332332332332,2.79965514030439,1.34109968321695,NA,0.0259263950449656,112
"15",1707.38062133391,1408.87399522051,348.788181620682,6480.73430371497,1707.38062133391,1408.87399522051,348.788181620682,2.80152562555655,1.26235269247555,NA,0.021330879130792,113
"16",7645.56033143449,7195.56654583118,517.977213878819,30064.2641118591,7645.56033143449,7195.56654583118,517.977213878819,2.62239153282628,1.32190154598406,NA,0.0890435192854799,114
"17",4439.11759343665,4125.40838650866,364.334548769371,17392.1358249772,4439.11759343665,4125.40838650866,364.334548769371,2.71036214741247,1.30040286561261,NA,0.0579400214950697,115
"18",2383.11815384615,2090.72384615385,335.072615384615,9197.4,2383.11815384615,2090.72384615385,335.072615384615,2.56518091246068,1.38723561341312,NA,0.0774836917179031,116
"19",3589.03555555556,3276.64814814815,359.140740740741,13997.0014814815,3589.03555555556,3276.64814814815,359.140740740741,2.71692439659622,1.31944485564242,NA,0.0420779359470045,117
"20",6015.43121417405,5677.39916623241,385.566961959354,23676.1578947368,6015.43121417405,5677.39916623241,385.566961959354,2.75180544348896,1.28329826268374,NA,0.0256797177273428,118
"21",307.151578947368,287.596842105263,21.3052631578947,1207.30105263158,307.151578947368,287.596842105263,21.3052631578947,3.20928199995432,1.1014920626113,NA,0.00268099196732049,119
"22",392.243290421122,335.161793584988,68.5906611389919,1500.38250054549,392.243290421122,335.161793584988,68.5906611389919,2.90459997217277,1.26495385509681,NA,0.0133051946203071,120
"23",373.517349685911,312.781932396051,72.0101705055339,1422.05922823811,373.517349685911,312.781932396051,72.0101705055339,2.83922162805514,1.28195007191821,NA,0.0185280003611616,121
"24",683.514851485148,657.975954738331,28.958981612447,2705.10042432815,683.514851485148,657.975954738331,28.958981612447,3.00173668572233,1.18266669496943,NA,0.0113545532721105,122
"25",508.859668818411,481.134437271962,32,2003.43867527365,508.859668818411,481.134437271962,32,2.93578412261399,1.22473117711139,NA,0.0144277887454901,123
"26",694.551820728291,669.039215686274,28.7002801120448,2749.50700280112,694.551820728291,669.039215686274,28.7002801120448,3.13020059364443,1.14352901598178,NA,0.00624050480080698,124
"27",550.931534667827,474.558746736292,90.2257035102988,2113.50043516101,550.931534667827,474.558746736292,90.2257035102988,2.90227246806253,1.27285771019595,NA,0.0203062651916675,125
"28",786.07136997539,761.260049220673,27.453650533224,3116.83182936833,786.07136997539,761.260049220673,27.453650533224,3.07662533902574,1.14645575364135,NA,0.00511182710606856,126
"29",391.488913525499,313.358093126386,91.9090909090909,1474.0465631929,391.488913525499,313.358093126386,91.9090909090909,2.77405753870372,1.36491453850282,NA,0.0268805670477664,127
"30",2933.14348785872,2895.1059602649,42.317880794702,11690.2560706402,2933.14348785872,2895.1059602649,42.317880794702,3.12119439682916,1.15601206885907,NA,0.00900993188131814,128
"31",838.416049382716,816.456790123457,24.3777777777778,3329.28641975309,838.416049382716,816.456790123457,24.3777777777778,3.11775423280425,1.13439311873808,NA,0.00349799268482437,129
"32",1631.02729528536,1608.56947890819,24.0967741935484,6500.01240694789,1631.02729528536,1608.56947890819,24.0967741935484,3.18493681752538,1.09898636689783,NA,0.00247338750000418,130
"33",128.641414141414,109.65367965368,21.8484848484848,492.717171717172,128.641414141414,109.65367965368,21.8484848484848,3.16589602897778,1.14276730887889,NA,0.00325784531095366,131
