region,district,township,loss,treecover2000,percentloss,year
Kayah,Bawlake,Pasawng,451,4227571,1.06681e-4,2001
Kayah,Bawlake,Bawlakhe,1472,2291745,6.42305e-4,2001
Kayah,Loikaw,Hsataw,165,2785146,5.92429e-5,2001
Kayah,Loikaw,Loi-Kaw,267,753318,3.54432e-4,2001
Kayah,Loikaw,Dimawhso,406,628872,6.456e-4,2001
Kayah,Loikaw,Phruhso,1895,1775508,0.0010673,2001
Shan,Taunggye,Pekhon,2195,1490498,0.001472662,2001
Bago,Taungoo,Thoungoo,684,1777331,3.84847e-4,2001
Bago,Taungoo,Yedashe,1979,2479131,7.98264e-4,2001
Mandalay,Yamethin,Pyinmana,1256,1787922,7.02491e-4,2001
Mandalay,Yamethin,Lewe,1121,1354456,8.27639e-4,2001
Magway,Thayetmyo,Myayde (Aunglan),182,732273,2.48541e-4,2001
Bago,Pyay,Paukkaung,376,992210,3.78952e-4,2001
Bago,Pyay,Thegon,101,207321,4.87167e-4,2001
Bago,Thayarwady,Nattalin,89,810129,1.09859e-4,2001
Bago,Thayarwady,Okpo,463,695350,6.65852e-4,2001
Bago,Thayarwady,Gyobingauk,465,413210,0.001125336,2001
Bago,Pyay,Paungde,0,4309,0,2001
Bago,Pyay,Prome,15,16598,9.03723e-4,2001
Bago,Thayarwady,Zigon,42,10018,0.004192454,2001
Magway,Magwe Minbu,Taungdwingyi,335,311124,0.001076741,2001
Magway,Magwe Minbu,Myothit,340,154590,0.002199366,2001
Naypyitaw,Naypyitaw,Pyinmana,17,2581,0.006586594,2001
Mandalay,Yamethin,Tatkon,677,1412850,4.79173e-4,2001
Shan,Taunggye,Pinlaung,2083,2745409,7.58721e-4,2001
Mandalay,Yamethin,Yamethin,646,938041,6.88669e-4,2001
Magway,Magwe Minbu,Natmauk,7,2017,0.003470501,2001
Mandalay,Meiktila,Pyawbwe,66,530877,1.24323e-4,2001
Mandalay,Meiktila,Thazi,172,774816,2.21988e-4,2001
Shan,Taunggye,Ye-Ngan,1196,3292535,3.63246e-4,2001
Mandalay,Meiktila,Wudwin,174,68050,0.002556943,2001
Mandalay,Meiktila,Meiktila,0,268,0,2001
Mandalay,Myingyan,Mahlaing,6,2501,0.00239904,2001
Mandalay,Myingyan,Taungtha,12,1322,0.009077156,2001
Mandalay,Myingyan,Myingyan,1,766,0.001305483,2001
Mandalay,Myingyan,Natogyi,21,1521,0.013806706,2001
Sagaing,Sagaing,Ngazun,0,727,0,2001
Sagaing,Sagaing,Myaung,0,257,0,2001
Sagaing,Monywa,Chaung-U,8,1076,0.007434944,2001
Sagaing,Sagaing,Myinmu,0,79,0,2001
Sagaing,Monywa,Ayadaw,1,384,0.002604167,2001
Sagaing,Shwebo,Tabayin,568,18864,0.030110263,2001
Sagaing,Shwebo,Wetlet,7,1306,0.005359877,2001
Sagaing,Shwebo,Shwebo,20,2448,0.008169935,2001
Sagaing,Sagaing,Sagaing,0,2838,0,2001
Mandalay,Kyaukse,Tada-U,1,1418,7.05219e-4,2001
Mandalay,Kyaukse,Singaing,7,35339,1.98081e-4,2001
Mandalay,Mandalay,Amarapura,17,1298,0.013097072,2001
Mandalay,Mandalay,Mandalay,8,759,0.010540184,2001
Mandalay,Pyin-Oo-Lwin,Madaya,158,517533,3.05295e-4,2001
Mandalay,Pyin-Oo-Lwin,Singu,332,1059228,3.13436e-4,2001
Mandalay,Mandalay,Patheingyi,64,469015,1.36456e-4,2001
Shan,Kyaukme,Nawnghkio,2807,2475471,0.001133926,2001
Mandalay,Mandalay,Maymyo,428,919092,4.65677e-4,2001
Mandalay,Kyaukse,Kyaukse,258,1366996,1.88735e-4,2001
Mandalay,Kyaukse,Myitha,77,115120,6.68867e-4,2001
Shan,Taunggye,Lawksawk,1983,4144348,4.78483e-4,2001
Shan,Taunggye,Pindaya,42,71922,5.83966e-4,2001
Shan,Taunggye,Kalaw,402,585632,6.86438e-4,2001
Shan,Taunggye,Taunggyi,92,406002,2.266e-4,2001
Shan,Loilen,Mong Kung,3311,6101647,5.4264e-4,2001
Shan,Kyaukme,Kyaukme,5502,4615178,0.001192153,2001
Shan,Kyaukme,Hsipaw,7173,4373379,0.001640151,2001
Shan,Loilen,Lai-Hka,985,2042627,4.82222e-4,2001
Shan,Loilen,Loi Lem,665,897848,7.4066e-4,2001
Shan,Loilen,Namsang,2534,2705811,9.36503e-4,2001
Shan,Taunggye,Ho-Pong,1129,634928,0.001778154,2001
Shan,Loilen,Mong Nai,2035,4093616,4.97116e-4,2001
Shan,Loilen,Mawkmai,1744,2628229,6.63565e-4,2001
Shan,Loilen,Langkho,1128,2378539,4.74241e-4,2001
Shan,Taunggye,Hsi Hseng,749,710602,0.001054036,2001
Shan,Taunggye,Yawunghwe,71,568544,1.2488e-4,2001
Shan,Loilen,Mong Pan,1394,6854533,2.03369e-4,2001
Shan,Mongsat,Mong Tung,6469,6347206,0.001019189,2001
Shan,Mongsat,Mong Hsat,8544,6353579,0.001344754,2001
Shan,Mongsat,Mong Ping,4645,8145835,5.7023e-4,2001
Shan,Loilen,Ke-Hsi,1976,2571263,7.68494e-4,2001
Shan,Loilen,Kunhing,3144,3172299,9.91079e-4,2001
Shan,Loilen,Mong Hsu,1481,1996640,7.41746e-4,2001
Shan,Lasho,Mong Yai,2097,2277063,9.20923e-4,2001
Shan,Lasho,Tangyan,4167,4429685,9.40699e-4,2001
Shan,Lasho,Pang-Yang,8881,5663100,0.001568222,2001
Shan,Lasho,Man Hpang,4164,1782909,0.002335509,2001
Shan,Lasho,Nampan,7727,1788168,0.004321182,2001
Shan,Kengtung,Mong Yang,6749,2588352,0.002607451,2001
Shan,Kengtung,Mongkhak,3086,2929887,0.001053283,2001
Shan,Kengtung,Keng Tung,6812,5831836,0.001168071,2001
Shan,Mongphat,Mong Hpayak,1246,2657113,4.6893e-4,2001
Shan,Tarchilaik,Tachilek,3484,3984122,8.74471e-4,2001
Shan,Mongphat,Mong Yawng,6485,5853840,0.00110782,2001
Kayin,Myawady,Myawadi,3719,3497212,0.001063419,2001
Kayin,Hpa-an,Kawkareik,487,1317362,3.69678e-4,2001
Kayin,Hpa-an,Kya-In Seikkyi,3412,9289338,3.67303e-4,2001
Tanintharyi,Dawei,Tavoy,3162,8466131,3.73488e-4,2001
Tanintharyi,Mergui,Tenasserim,6886,14972035,4.59924e-4,2001
Tanintharyi,Dawei,Thayetchaung,3128,2491164,0.001255638,2001
Tanintharyi,Mergui,Palaw,3617,2491285,0.001451861,2001
Tanintharyi,Dawei,Launglon,868,690083,0.00125782,2001
Tanintharyi,Dawei,Yebyu,15084,4667205,0.003231913,2001
Mon,Mawlamyine,Ye,2705,2863754,9.44564e-4,2001
Mon,Mawlamyine,Thanbyuzayat,2835,743340,0.003813867,2001
Ayeyarwady,Pharpon,Pyapon,13,19392,6.7038e-4,2001
Ayeyarwady,Pharpon,Bogale,0,239126,0,2001
Tanintharyi,Mergui,Mergui,10724,5595532,0.001916529,2001
Tanintharyi,Kawthoung,Bokpyin,10243,7611073,0.001345802,2001
Kachin,Putao,Nogmung,2080,7756426,2.68165e-4,2001
Kachin,Putao,Khawbude,1709,7109674,2.40377e-4,2001
Kachin,Putao,Machanbaw,1140,3996522,2.85248e-4,2001
Kachin,Myitkyina,Hsawlaw,3914,4348848,9.00008e-4,2001
Kachin,Myitkyina,Chipwi,6307,4093071,0.001540897,2001
Kachin,Putao,Sumpranbum,11277,9405444,0.001198986,2001
Kachin,Myitkyina,Njangyang,12333,6553019,0.001882033,2001
Kachin,Myitkyina,Waingmaw,18953,5889827,0.003217921,2001
Shan,Lasho,Pangwaum,2375,1237355,0.001919417,2001
Shan,Lasho,Mong Mao,4410,2145238,0.002055716,2001
Shan,Kunlong,Kunlong,828,526927,0.001571375,2001
Shan,Lauking,Kong-Kyan,736,862135,8.53695e-4,2001
Shan,Muse,Kutkai,7033,4135283,0.00170073,2001
Shan,Kunlong,Ho-Pang,1783,1408480,0.001265904,2001
Shan,Lasho,Hsenwi,2599,2017367,0.001288313,2001
Shan,Lasho,Lashio,5919,4333525,0.001365863,2001
Shan,Muse,Mu-Se,1011,1932545,5.23144e-4,2001
Shan,Muse,Namhkan,4318,1990221,0.002169608,2001
Kachin,Myitkyina,Myitkyina,9926,7837796,0.001266427,2001
Kachin,Bhamo,Momauk,3562,3029632,0.00117572,2001
Kachin,Myitkyina,Mogaung,2183,2400590,9.0936e-4,2001
Kachin,Myitkyina,Kamaing,6364,8254148,7.71006e-4,2001
Kachin,Myitkyina,Mohnyin,4054,7991544,5.07286e-4,2001
Kachin,Bhamo,Shwegu,2198,3620744,6.07058e-4,2001
Kachin,Bhamo,Bhamo,956,2625746,3.64087e-4,2001
Sagaing,Katha,Katha,10422,2009361,0.005186724,2001
Shan,Kyaukme,Mabein,4374,5886379,7.43071e-4,2001
Kachin,Bhamo,Mansi,3971,3763269,0.0010552,2001
Shan,Kyaukme,Mong Mit,3205,3552712,9.02128e-4,2001
Shan,Kyaukme,Namtu,12689,5250164,0.002416877,2001
Shan,Kyaukme,Namhsan,4073,1216058,0.003349347,2001
Mandalay,Pyin-Oo-Lwin,Mogok,459,1428007,3.21427e-4,2001
Sagaing,Katha,Tigyaing,1893,1927501,9.82101e-4,2001
Sagaing,Katha,Indaw,4026,1581718,0.002545334,2001
Sagaing,Katha,Kawlin,2680,1333939,0.002009087,2001
Sagaing,Katha,Wuntho,1431,951653,0.001503699,2001
