,n_cell,n_core_cell,n_edges_perimeter,n_edges_internal,area,core_area,perimeter,perim_area_ratio,shape_index,frac_dim_index,core_area_index,ID,FID
81,2521.821586,2248.13304,311.6960352,9775.590308,2521.821586,2248.13304,311.6960352,2.843829109,1.3013263,NA,0.022502929,81,80
82,717.1398352,600.7678571,135.2686813,2733.290659,717.1398352,600.7678571,135.2686813,2.821091251,1.314745723,NA,0.021820711,82,81
83,525.4195054,437.4867525,105.9571032,1995.720918,525.4195054,437.4867525,105.9571032,3.027273531,1.249239408,NA,0.011590604,83,82
84,452.180615,371.7603477,95.24120929,1713.481251,452.180615,371.7603477,95.24120929,2.97357799,1.263943196,NA,0.017431821,84,83
85,1377.31364,1186.251398,218.9506443,5290.303914,1377.31364,1186.251398,218.9506443,2.900834576,1.275156723,NA,0.018402076,85,84
86,641.4055758,553.0494524,105.7076004,2459.914703,641.4055758,553.0494524,105.7076004,3.016667492,1.258825631,NA,0.01196387,86,85
87,966.8555184,822.7331104,166.9123746,3700.509699,966.8555184,822.7331104,166.9123746,2.820600184,1.310786917,NA,0.024021652,87,86
88,3789.518107,3473.065421,357.9521028,14800.12033,3789.518107,3473.065421,357.9521028,2.940511659,1.319921523,NA,0.023956252,88,87
89,1410.885385,1296.273273,131.5465465,5511.994995,1410.885385,1296.273273,131.5465465,3.100422585,1.220046049,NA,0.011039643,89,88
90,12218.85795,12159.97727,59.92045455,48815.51136,12218.85795,12159.97727,59.92045455,3.190912132,1.072334788,NA,0.006034502,90,89
91,2912,2877.503425,38.61986301,11609.38014,2912,2877.503425,38.61986301,3.129722441,1.196984817,NA,0.008934796,91,90
92,1431.321168,1409.350365,23.54379562,5701.740876,1431.321168,1409.350365,23.54379562,3.337815289,1.096575657,NA,0.002087656,92,91
93,708.9050935,579.0851064,157.3609284,2678.259446,708.9050935,579.0851064,157.3609284,2.945766565,1.304137996,NA,0.012721539,93,92
94,2918.197143,2887.768571,31.27428571,11641.51429,2918.197143,2887.768571,31.27428571,3.371264959,1.075944149,NA,0.003305409,94,93
95,484.6826087,396.6875562,108.5526237,1830.177811,484.6826087,396.6875562,108.5526237,2.99233315,1.255720524,NA,0.010144158,95,94
96,6313.698565,6257.382775,59.67464115,25195.11962,6313.698565,6257.382775,59.67464115,2.981481933,1.173106359,NA,0.019366139,96,95
97,1544.368421,1500.865212,51.53530167,6125.938383,1544.368421,1500.865212,51.53530167,3.112123284,1.22484134,NA,0.009251828,97,96
98,5797.808917,5751.707006,46.85350318,23144.38217,5797.808917,5751.707006,46.85350318,3.473864139,1.079114041,NA,0.006321036,98,97
99,21994.80357,21873.5,121.4642857,87857.75,21994.80357,21873.5,121.4642857,3.424201242,1.040982947,NA,0.017760101,99,98
100,10106.42935,10047.22826,61.31521739,40364.40217,10106.42935,10047.22826,61.31521739,3.159298281,1.131043908,NA,0.014376548,100,99
101,2504.7529,2480.055684,26.84222738,9992.169374,2504.7529,2480.055684,26.84222738,3.253370794,1.123258212,NA,0.00347008,101,100
102,331.5123369,268.9502195,76.19714303,1249.852205,331.5123369,268.9502195,76.19714303,2.969375069,1.280688892,NA,0.011509029,102,101
103,677.5425331,652.2763705,29.08355388,2681.086578,677.5425331,652.2763705,29.08355388,3.033066577,1.211045019,NA,0.006275206,103,102
104,467.7558868,353.3285807,135.9442644,1735.079283,467.7558868,353.3285807,135.9442644,2.951965438,1.294138628,NA,0.014567089,104,103
105,1502.820657,1481.307981,22.64225352,5988.640376,1502.820657,1481.307981,22.64225352,3.278833788,1.091524536,NA,0.002549803,105,104
106,788.5197527,762.6138784,30.26932326,3123.809687,788.5197527,762.6138784,30.26932326,3.011621419,1.225958071,NA,0.00839616,106,105
107,507.9086643,470.4703971,43.76028881,1987.874368,507.9086643,470.4703971,43.76028881,2.938247174,1.26874149,NA,0.011022948,107,106
108,346.5123486,266.8810259,97.17573023,1288.873664,346.5123486,266.8810259,97.17573023,2.862374687,1.356790053,NA,0.022069076,108,107
109,4106.410959,4077.517123,29.93493151,16395.7089,4106.410959,4077.517123,29.93493151,3.344787811,1.076952971,NA,0.003818489,109,108
110,250.3198059,186.3998348,78.61090458,922.6683189,250.3198059,186.3998348,78.61090458,2.82854668,1.359264641,NA,0.023738735,110,109
111,995.2281903,872.8893295,141.4513338,3839.461428,995.2281903,872.8893295,141.4513338,2.935416922,1.309529026,NA,0.02434562,111,110
112,526.3693529,324.4565941,242.4481168,1863.029295,526.3693529,324.4565941,242.4481168,2.804243601,1.33104785,NA,0.021720019,112,111
113,1007.184895,678.4451094,389.6079241,3639.131655,1007.184895,678.4451094,389.6079241,2.825736341,1.331354483,NA,0.018126109,113,112
114,411.0839446,262.4612877,181.6899756,1462.645803,411.0839446,262.4612877,181.6899756,3.005441262,1.275855281,NA,0.012375544,114,113
115,203.8843481,120.6591604,100.9179872,714.6194051,203.8843481,120.6591604,100.9179872,2.855761341,1.311878978,NA,0.018318239,115,114
116,398.5174962,277.2264714,144.1735375,1449.896447,398.5174962,277.2264714,144.1735375,2.84320724,1.289888848,NA,0.023559661,116,115
117,935.7604651,743.8094315,223.6372093,3519.404651,935.7604651,743.8094315,223.6372093,2.770253595,1.306795944,NA,0.028462659,117,116
